Artist,Category,VideoTitle,Time,ActivityLevel,LegAsana,BalanacingAsana,StretchAsana,CoreAsana
Yoga with Adriene,Mind,Ahimsa Yoga,35 min,Gentle,,,"Breathing, cat/cow, heart to earth, sphinx, side body bind, seated twist","Locust, hovering table"
Yoga with Adriene,Mind,Yoga for When You're Angry,18 min,Gentle,,,"Extended child, sphinx",
Yoga with Adriene,Mind,Yoga for Anxiety,19 min,Gentle,,,"Cross-legged sitting+forward fold+open twist, wide-legged sitting+forward fold+shoulder twist, head to knee, r. cobbler",
Yoga with Adriene,Mind,Meditation for Anxiety,,,,,,
Yoga with Adriene,Mind,Yoga for Anxiety and Stress ,30 min,Active,"Low lunge, warrior I+II, peaceful warrior pulses, extended side angle",Warrior III,"Alternative nostril breathing, cat/cow, table top arm stretches, stick + forward fold, reclined one-legged pigeon, reclined cobbler",reclined leg lifted pulses
Yoga with Adriene,Mind,Yoga when you're in a Bad Mood,34 min,Active,"Warrior I, warrior II, high lunge",Tree,"at/cow, heart to earth, sphinx, standing side body stretch, lion's breath, r. leg stretches, happy baby, r. pigeon","Three-legged dog, bridge"
Yoga with Adriene,Mind,Balancing Ocean Flow ,26 min,Vigorous,"Crescent lunge, low lunge+twist, high lunge+twist, pyramid, Warrior I+eagle arms, Warrior II, peaceful warrior, extended side angle, garland","Standing splits, one-legged tadasana, crow","Forward fold twist, seated twist, r. cobbler, hedgehog","Three-legged dog+nose-to-knee-to-elbow, standing forward fold toe lift, boat, ""Simba"" alt, yogi bicycles"
Yoga with Adriene,Mind,Yoga for Beginner's Mind,21 min,Gentle,"Low lunge, rev. Triangle",,"Neck circles, cat/cow, leg stretch, arm stretch",
Yoga with Adriene,Mind,Yoga for Broken Heart ,23 min,Gentle,"Crescent lunge, half splints, garland",,"Cat/cow, cobbler+forward fold, pigeon+forward fold, shoulder-to-earth",Three-legged dog+nose-to-knee
Yoga with Adriene,Mind,Yoga to Calm Your Nerves,24 min,Gentle,,Standing pigeon+forward fold+toe balance,"Shoulder to earth, standing wide-legged forward fold",
Yoga with Adriene,Mind,Finding Your Centre,18 min,Gentle,Crescent lunge,,"R. twist, seated twist","R. laised pulses, three-legged dog + nose-to-knee+ pulses, plank + nose-to-knee"
Yoga with Adriene,Mind,Yoga for Concentration and Mental Focus,26 min,Active,"Low lunge+twist, half gate, garland","Tree, toe stand/crow","Hedgehog, spinal flex in petit bonhomme, eagle arms",Chair+eagle arms
Yoga with Adriene,Mind,Confidence Boost Yoga,29 min,Active,"Garland, standing wide-legged +forward fold","Flamingo, dancer, tripod headstand, crow","Seated twist, cat/cow, staff, hedgehog, r. pigeon, r. eagle twist, happy baby",
Yoga with Adriene,Mind,Up Your Connect,19 min,Active,"Low lunge, high lunge",,Cat/cow,Three-legged dog + nose to knee alt
Yoga with Adriene,Mind,Connection,27 min,Gentle,Crescent lunge,,"Breathing, r. cobbler, hedgehog, cat/cow, pigeon",Dolphin
Yoga with Adriene,Mind,Cozy yoga,38 min,Gentle,,Tree,"Neck/shoulder stretches, seated twist, seated forward fold, elephant prep, open table twist, knocking on heaven's door, cobbler+forward fold, windshield wiper legs, one-legged pigeon+forward fold","Bridge, Russian twists"
Yoga with Adriene,Mind,Yoga for Creativity,41 min,Active,"Crescent lunge, lizard + twist, horizon lunge",Crow,"Pranayama breathing, side body stretch, cat/cow, wide-legged standing + forward fold, cow legs+side stretch, hero, garland","Plank, three-legged dog + nose to knee/knee to elbow"
Yoga with Adriene,Mind,Yoga for Unlocking Creativity ,27 min,Active,"Lizard + twist, horizon lunge",Tabletop leg circles,"R. cobbler, cat/cow, heart to earth, sphinx, standing wide legged forward fold, cow leg + side body stretch","Bridge, penguin crunches, forearm plank lifts, three-legged dog"
Yoga with Adriene,Mind,Yoga for Depression,15 min,Gentle,,,"R. Cobbler, seated twist, seated spinal flex, heart to earth, froggy stretch, wide legged standing + forward fold",
Yoga with Adriene,Mind,Yoga for After a Disaster,31 min,Gentle,,,"Breathing, side body stretch, seated cat/cow, table side stretch, heart to earth, shoulder to earth, downward dog heel lifts, staff, seated twist","Forearm plank, reverse table"
Yoga with Adriene,Mind,No Fear yoga ,38 min,Active,"Three-legged dog, low lunge+twist, Warrior I, Warrior II, triangle+twist, high lunge","Warior III, seated tow balance/frog, crow","""cheerleader legs""+twist, cat/cow, staff","Hovering cat, three-legged dog+nose to knee, mountain climbers/plank"
Yoga with Adriene,Mind,Feel Good Flow,19 min,Gentle,High lunge+straight leg flow,,"Cat/cow, tabletop twist, standing forward fold twist, seated twist","3LD+nose to knee, chair"
Yoga with Adriene,Mind,Yoga for the Future,29 min,Active,"Warrior I, low lunge_twist",,"Shoulder to earth, cobbler, windshield wiper","Plank, chair, mermaid dips, flower, boat"
Yoga with Adriene,Mind,Generosity  practise ,46 min,Active,"Low lunge, warrior I, warrior II, peaceful warrior, high lunge+twist+reverse, reverse triangle",Tree,"Shoulder stretch, eagle arms","Three-legged dog+nose to knee, one-legged plank hold"
Yoga with Adriene,Mind,Yoga for Gratitude ,37 min,Active,"Low lunge, lizard, dolphin",Balancing table,"Cat/cow, sphinx, supine twist","Plank toe taps, plank hurdle"
Yoga with Adriene,Mind,Greet the Day ,39 min,Gentle,"low lunge, crescent lunge, gate+twist, lizard, Warrior I, Warrior II, reverse triangle",,"Seated twist, cat/cow, cobra, staff+forward fold","Hovering cat, three legged dog +noseto knee, bridge"
Yoga with Adriene,Mind,Grounding Yoga Practice,20 min,Gentle,"Warrior II, extended side angle",tree,Seated twist,
Yoga with Adriene,Mind,Head and Heart Reset ,24 min,Active,"Warrior I, warrior II flow, rev. Triangle, low lunge, crescent lunge",,"Chest/shoulder stretch, standing open twist, cobbler, seated twist",Three-legged dog+nose to knee
Yoga with Adriene,Mind,Meditation to restore Inner Peace,11 min,,,,,
Yoga with Adriene,Mind,Yoga for Insecurity,23 min,Active,,"Balancing table, plank/side plank alt","Neck stretches, cat/ccow, hero+twist, shoulder to earth","""pike"" downward dog, forearm plank"
Yoga with Adriene,Mind,Let It Go,20 min,Gentle,"Low lunge, high lunge",,,
Yoga with Adriene,Mind,Yoga for Loneliness,20 min,Gentle,,,"Hedgehog, happy baby, r. cobbler, r. one-legged twist","Bridge, nose to knee"
